block	round	hides	s1	s3
0	1	[11 15 23 21  2  4]	16	4
0	2	[11 15 23 21  2  4]	4	11
0	3	[11 15 23 21  2  4]	1	4
0	4	[11 15 23 21  2  4]	12	23
0	5	[11 15 23 21  2  4]	10	11
0	6	[11 15 23 21  2  4]	8	2
0	7	[11 15 23 21  2  4]	13	21
0	8	[11 15 23 21  2  4]	8	23
0	9	[11 15 23 21  2  4]	4	23
0	10	[11 15 23 21  2  4]	22	23
1	1	[11 10  2 16  3 22]	20	22
1	2	[11 10  2 16  3 22]	13	3
1	3	[11 10  2 16  3 22]	1	16
1	4	[11 10  2 16  3 22]	12	3
1	5	[11 10  2 16  3 22]	19	11
1	6	[11 10  2 16  3 22]	0	16
1	7	[11 10  2 16  3 22]	5	22
1	8	[11 10  2 16  3 22]	20	10
1	9	[11 10  2 16  3 22]	9	3
1	10	[11 10  2 16  3 22]	19	3
2	1	[23  1  4  8 16 22]	1	22
2	2	[23  1  4  8 16 22]	6	16
2	3	[23  1  4  8 16 22]	15	23
2	4	[23  1  4  8 16 22]	3	1
2	5	[23  1  4  8 16 22]	20	23
2	6	[23  1  4  8 16 22]	18	8
2	7	[23  1  4  8 16 22]	22	4
2	8	[23  1  4  8 16 22]	2	1
2	9	[23  1  4  8 16 22]	18	8
2	10	[23  1  4  8 16 22]	14	1
3	1	[21 23  5 10 12  2]	24	21
3	2	[21 23  5 10 12  2]	8	2
3	3	[21 23  5 10 12  2]	11	21
3	4	[21 23  5 10 12  2]	3	10
3	5	[21 23  5 10 12  2]	10	2
3	6	[21 23  5 10 12  2]	23	2
3	7	[21 23  5 10 12  2]	11	23
3	8	[21 23  5 10 12  2]	11	21
3	9	[21 23  5 10 12  2]	19	12
3	10	[21 23  5 10 12  2]	1	21
4	1	[13  4 11 16 10 17]	15	13
4	2	[13  4 11 16 10 17]	23	4
4	3	[13  4 11 16 10 17]	22	13
4	4	[13  4 11 16 10 17]	17	16
4	5	[13  4 11 16 10 17]	15	11
4	6	[13  4 11 16 10 17]	12	13
4	7	[13  4 11 16 10 17]	4	10
4	8	[13  4 11 16 10 17]	6	11
4	9	[13  4 11 16 10 17]	10	11
4	10	[13  4 11 16 10 17]	22	4
5	1	[23  8  6 13 18 11]	0	23
5	2	[23  8  6 13 18 11]	5	13
5	3	[23  8  6 13 18 11]	0	11
5	4	[23  8  6 13 18 11]	13	11
5	5	[23  8  6 13 18 11]	15	13
5	6	[23  8  6 13 18 11]	7	8
5	7	[23  8  6 13 18 11]	15	23
5	8	[23  8  6 13 18 11]	24	13
5	9	[23  8  6 13 18 11]	7	6
5	10	[23  8  6 13 18 11]	10	18
6	1	[24 12  3  6  7  4]	12	6
6	2	[24 12  3  6  7  4]	3	7
6	3	[24 12  3  6  7  4]	14	12
6	4	[24 12  3  6  7  4]	9	7
6	5	[24 12  3  6  7  4]	6	3
6	6	[24 12  3  6  7  4]	23	12
6	7	[24 12  3  6  7  4]	12	4
6	8	[24 12  3  6  7  4]	14	24
6	9	[24 12  3  6  7  4]	1	4
6	10	[24 12  3  6  7  4]	11	12
7	1	[ 0  3 15  6  4 10]	1	0
7	2	[ 0  3 15  6  4 10]	21	0
7	3	[ 0  3 15  6  4 10]	10	3
7	4	[ 0  3 15  6  4 10]	11	0
7	5	[ 0  3 15  6  4 10]	7	3
7	6	[ 0  3 15  6  4 10]	4	10
7	7	[ 0  3 15  6  4 10]	21	10
7	8	[ 0  3 15  6  4 10]	24	3
7	9	[ 0  3 15  6  4 10]	20	0
7	10	[ 0  3 15  6  4 10]	8	10
8	1	[20  0  4 18 23  2]	12	20
8	2	[20  0  4 18 23  2]	13	2
8	3	[20  0  4 18 23  2]	6	4
8	4	[20  0  4 18 23  2]	6	2
8	5	[20  0  4 18 23  2]	12	18
8	6	[20  0  4 18 23  2]	15	4
8	7	[20  0  4 18 23  2]	22	4
8	8	[20  0  4 18 23  2]	2	0
8	9	[20  0  4 18 23  2]	5	4
8	10	[20  0  4 18 23  2]	5	18
9	1	[19  9 18  5  6 13]	0	9
9	2	[19  9 18  5  6 13]	10	13
9	3	[19  9 18  5  6 13]	10	18
9	4	[19  9 18  5  6 13]	6	13
9	5	[19  9 18  5  6 13]	6	19
9	6	[19  9 18  5  6 13]	17	9
9	7	[19  9 18  5  6 13]	22	5
9	8	[19  9 18  5  6 13]	11	5
9	9	[19  9 18  5  6 13]	9	18
9	10	[19  9 18  5  6 13]	4	5
10	1	[19 11  6  3 22  4]	24	11
10	2	[19 11  6  3 22  4]	17	4
10	3	[19 11  6  3 22  4]	0	6
10	4	[19 11  6  3 22  4]	21	3
10	5	[19 11  6  3 22  4]	18	11
10	6	[19 11  6  3 22  4]	10	19
10	7	[19 11  6  3 22  4]	13	11
10	8	[19 11  6  3 22  4]	16	6
10	9	[19 11  6  3 22  4]	3	4
10	10	[19 11  6  3 22  4]	23	6
11	1	[14 20 22 16  0 12]	22	12
11	2	[14 20 22 16  0 12]	21	12
11	3	[14 20 22 16  0 12]	16	0
11	4	[14 20 22 16  0 12]	6	22
11	5	[14 20 22 16  0 12]	4	22
11	6	[14 20 22 16  0 12]	16	14
11	7	[14 20 22 16  0 12]	14	0
11	8	[14 20 22 16  0 12]	3	22
11	9	[14 20 22 16  0 12]	5	20
11	10	[14 20 22 16  0 12]	2	16
12	1	[23  7  0 12 21  4]	24	12
12	2	[23  7  0 12 21  4]	19	21
12	3	[23  7  0 12 21  4]	11	4
12	4	[23  7  0 12 21  4]	4	12
12	5	[23  7  0 12 21  4]	0	23
12	6	[23  7  0 12 21  4]	21	4
12	7	[23  7  0 12 21  4]	2	21
12	8	[23  7  0 12 21  4]	11	21
12	9	[23  7  0 12 21  4]	4	23
12	10	[23  7  0 12 21  4]	19	12
13	1	[ 5  6  0 20 16  7]	10	20
13	2	[ 5  6  0 20 16  7]	23	6
13	3	[ 5  6  0 20 16  7]	17	0
13	4	[ 5  6  0 20 16  7]	4	6
13	5	[ 5  6  0 20 16  7]	9	6
13	6	[ 5  6  0 20 16  7]	15	16
13	7	[ 5  6  0 20 16  7]	13	5
13	8	[ 5  6  0 20 16  7]	1	7
13	9	[ 5  6  0 20 16  7]	4	20
13	10	[ 5  6  0 20 16  7]	15	5
14	1	[10  6 20 15 12 13]	24	6
14	2	[10  6 20 15 12 13]	9	10
14	3	[10  6 20 15 12 13]	8	10
14	4	[10  6 20 15 12 13]	19	20
14	5	[10  6 20 15 12 13]	5	13
14	6	[10  6 20 15 12 13]	5	12
14	7	[10  6 20 15 12 13]	15	13
14	8	[10  6 20 15 12 13]	15	10
14	9	[10  6 20 15 12 13]	0	20
14	10	[10  6 20 15 12 13]	19	10
