block	round	hides	s1	s3
0	1	[16  1 10 20  0 24]	23	20
0	2	[16  1 10 20  0 24]	7	0
0	3	[16  1 10 20  0 24]	4	24
0	4	[16  1 10 20  0 24]	24	20
0	5	[16  1 10 20  0 24]	6	24
0	6	[16  1 10 20  0 24]	0	10
0	7	[16  1 10 20  0 24]	6	20
0	8	[16  1 10 20  0 24]	17	1
0	9	[16  1 10 20  0 24]	12	10
0	10	[16  1 10 20  0 24]	23	20
1	1	[13  6  0 16  3 11]	6	13
1	2	[13  6  0 16  3 11]	9	6
1	3	[13  6  0 16  3 11]	0	11
1	4	[13  6  0 16  3 11]	22	0
1	5	[13  6  0 16  3 11]	14	6
1	6	[13  6  0 16  3 11]	7	3
1	7	[13  6  0 16  3 11]	24	11
1	8	[13  6  0 16  3 11]	7	6
1	9	[13  6  0 16  3 11]	15	3
1	10	[13  6  0 16  3 11]	21	16
2	1	[24 22 19  6 14  0]	5	0
2	2	[24 22 19  6 14  0]	16	19
2	3	[24 22 19  6 14  0]	14	0
2	4	[24 22 19  6 14  0]	5	22
2	5	[24 22 19  6 14  0]	8	19
2	6	[24 22 19  6 14  0]	5	0
2	7	[24 22 19  6 14  0]	24	19
2	8	[24 22 19  6 14  0]	11	22
2	9	[24 22 19  6 14  0]	9	22
2	10	[24 22 19  6 14  0]	11	19
3	1	[ 2 18 23 22  0 12]	18	2
3	2	[ 2 18 23 22  0 12]	4	18
3	3	[ 2 18 23 22  0 12]	18	12
3	4	[ 2 18 23 22  0 12]	13	2
3	5	[ 2 18 23 22  0 12]	6	22
3	6	[ 2 18 23 22  0 12]	24	12
3	7	[ 2 18 23 22  0 12]	9	18
3	8	[ 2 18 23 22  0 12]	7	18
3	9	[ 2 18 23 22  0 12]	19	23
3	10	[ 2 18 23 22  0 12]	1	22
4	1	[19 18 16 15  3  5]	22	3
4	2	[19 18 16 15  3  5]	2	15
4	3	[19 18 16 15  3  5]	18	5
4	4	[19 18 16 15  3  5]	19	15
4	5	[19 18 16 15  3  5]	22	19
4	6	[19 18 16 15  3  5]	15	3
4	7	[19 18 16 15  3  5]	4	3
4	8	[19 18 16 15  3  5]	23	5
4	9	[19 18 16 15  3  5]	12	18
4	10	[19 18 16 15  3  5]	24	5
5	1	[13 16 22  0  8 17]	23	17
5	2	[13 16 22  0  8 17]	7	13
5	3	[13 16 22  0  8 17]	2	16
5	4	[13 16 22  0  8 17]	14	8
5	5	[13 16 22  0  8 17]	5	17
5	6	[13 16 22  0  8 17]	23	22
5	7	[13 16 22  0  8 17]	14	16
5	8	[13 16 22  0  8 17]	11	22
5	9	[13 16 22  0  8 17]	9	17
5	10	[13 16 22  0  8 17]	20	22
6	1	[19 23 11 24  8  6]	19	11
6	2	[19 23 11 24  8  6]	6	19
6	3	[19 23 11 24  8  6]	8	19
6	4	[19 23 11 24  8  6]	19	23
6	5	[19 23 11 24  8  6]	7	24
6	6	[19 23 11 24  8  6]	12	8
6	7	[19 23 11 24  8  6]	11	6
6	8	[19 23 11 24  8  6]	9	6
6	9	[19 23 11 24  8  6]	19	6
6	10	[19 23 11 24  8  6]	0	24
7	1	[ 8  3 20  6  9 17]	22	17
7	2	[ 8  3 20  6  9 17]	19	9
7	3	[ 8  3 20  6  9 17]	24	3
7	4	[ 8  3 20  6  9 17]	11	3
7	5	[ 8  3 20  6  9 17]	21	3
7	6	[ 8  3 20  6  9 17]	2	20
7	7	[ 8  3 20  6  9 17]	2	17
7	8	[ 8  3 20  6  9 17]	14	8
7	9	[ 8  3 20  6  9 17]	22	8
7	10	[ 8  3 20  6  9 17]	20	6
8	1	[10 19 16  0  2  9]	5	16
8	2	[10 19 16  0  2  9]	23	10
8	3	[10 19 16  0  2  9]	6	16
8	4	[10 19 16  0  2  9]	20	19
8	5	[10 19 16  0  2  9]	24	19
8	6	[10 19 16  0  2  9]	23	0
8	7	[10 19 16  0  2  9]	16	2
8	8	[10 19 16  0  2  9]	2	16
8	9	[10 19 16  0  2  9]	14	10
8	10	[10 19 16  0  2  9]	23	19
9	1	[19  6 14 23 17 13]	10	6
9	2	[19  6 14 23 17 13]	7	17
9	3	[19  6 14 23 17 13]	20	17
9	4	[19  6 14 23 17 13]	4	23
9	5	[19  6 14 23 17 13]	1	6
9	6	[19  6 14 23 17 13]	20	13
9	7	[19  6 14 23 17 13]	23	6
9	8	[19  6 14 23 17 13]	12	6
9	9	[19  6 14 23 17 13]	19	6
9	10	[19  6 14 23 17 13]	0	13
10	1	[ 3 15  0  5  8 19]	15	19
10	2	[ 3 15  0  5  8 19]	0	5
10	3	[ 3 15  0  5  8 19]	20	5
10	4	[ 3 15  0  5  8 19]	3	5
10	5	[ 3 15  0  5  8 19]	20	0
10	6	[ 3 15  0  5  8 19]	18	3
10	7	[ 3 15  0  5  8 19]	20	5
10	8	[ 3 15  0  5  8 19]	11	3
10	9	[ 3 15  0  5  8 19]	13	8
10	10	[ 3 15  0  5  8 19]	17	8
11	1	[23  4 14 10 16  2]	4	10
11	2	[23  4 14 10 16  2]	10	23
11	3	[23  4 14 10 16  2]	17	16
11	4	[23  4 14 10 16  2]	8	14
11	5	[23  4 14 10 16  2]	2	23
11	6	[23  4 14 10 16  2]	19	4
11	7	[23  4 14 10 16  2]	7	4
11	8	[23  4 14 10 16  2]	7	23
11	9	[23  4 14 10 16  2]	15	14
11	10	[23  4 14 10 16  2]	0	4
12	1	[ 4 11  9 16 21  3]	22	4
12	2	[ 4 11  9 16 21  3]	13	11
12	3	[ 4 11  9 16 21  3]	5	21
12	4	[ 4 11  9 16 21  3]	20	16
12	5	[ 4 11  9 16 21  3]	6	16
12	6	[ 4 11  9 16 21  3]	15	9
12	7	[ 4 11  9 16 21  3]	15	4
12	8	[ 4 11  9 16 21  3]	24	11
12	9	[ 4 11  9 16 21  3]	4	21
12	10	[ 4 11  9 16 21  3]	24	4
13	1	[23  6 21 17 13 20]	16	17
13	2	[23  6 21 17 13 20]	8	20
13	3	[23  6 21 17 13 20]	7	17
13	4	[23  6 21 17 13 20]	4	6
13	5	[23  6 21 17 13 20]	22	23
13	6	[23  6 21 17 13 20]	19	23
13	7	[23  6 21 17 13 20]	21	6
13	8	[23  6 21 17 13 20]	13	17
13	9	[23  6 21 17 13 20]	3	23
13	10	[23  6 21 17 13 20]	22	13
14	1	[ 7  3 21 12 20  5]	24	3
14	2	[ 7  3 21 12 20  5]	11	21
14	3	[ 7  3 21 12 20  5]	9	20
14	4	[ 7  3 21 12 20  5]	3	20
14	5	[ 7  3 21 12 20  5]	3	12
14	6	[ 7  3 21 12 20  5]	24	7
14	7	[ 7  3 21 12 20  5]	10	5
14	8	[ 7  3 21 12 20  5]	4	12
14	9	[ 7  3 21 12 20  5]	8	5
14	10	[ 7  3 21 12 20  5]	8	21
15	1	[ 5 11 18 14  7  1]	21	7
15	2	[ 5 11 18 14  7  1]	3	5
15	3	[ 5 11 18 14  7  1]	2	18
15	4	[ 5 11 18 14  7  1]	9	11
15	5	[ 5 11 18 14  7  1]	20	1
15	6	[ 5 11 18 14  7  1]	24	18
15	7	[ 5 11 18 14  7  1]	9	18
15	8	[ 5 11 18 14  7  1]	21	7
15	9	[ 5 11 18 14  7  1]	17	14
15	10	[ 5 11 18 14  7  1]	12	5
16	1	[14  1 22 15 12 19]	4	15
16	2	[14  1 22 15 12 19]	21	19
16	3	[14  1 22 15 12 19]	10	14
16	4	[14  1 22 15 12 19]	20	15
16	5	[14  1 22 15 12 19]	9	14
16	6	[14  1 22 15 12 19]	24	12
16	7	[14  1 22 15 12 19]	5	15
16	8	[14  1 22 15 12 19]	24	1
16	9	[14  1 22 15 12 19]	1	14
16	10	[14  1 22 15 12 19]	11	15
17	1	[ 9 22  8 18  1 16]	24	18
17	2	[ 9 22  8 18  1 16]	14	16
17	3	[ 9 22  8 18  1 16]	20	8
17	4	[ 9 22  8 18  1 16]	11	18
17	5	[ 9 22  8 18  1 16]	16	9
17	6	[ 9 22  8 18  1 16]	1	8
17	7	[ 9 22  8 18  1 16]	5	8
17	8	[ 9 22  8 18  1 16]	2	8
17	9	[ 9 22  8 18  1 16]	1	9
17	10	[ 9 22  8 18  1 16]	12	22
18	1	[17  2  5 19 21 11]	1	19
18	2	[17  2  5 19 21 11]	15	5
18	3	[17  2  5 19 21 11]	22	17
18	4	[17  2  5 19 21 11]	3	19
18	5	[17  2  5 19 21 11]	13	17
18	6	[17  2  5 19 21 11]	7	17
18	7	[17  2  5 19 21 11]	0	21
18	8	[17  2  5 19 21 11]	14	17
18	9	[17  2  5 19 21 11]	24	2
18	10	[17  2  5 19 21 11]	0	19
19	1	[13 23  3 24 14  6]	20	6
19	2	[13 23  3 24 14  6]	16	14
19	3	[13 23  3 24 14  6]	6	13
19	4	[13 23  3 24 14  6]	23	6
19	5	[13 23  3 24 14  6]	20	3
19	6	[13 23  3 24 14  6]	8	6
19	7	[13 23  3 24 14  6]	18	14
19	8	[13 23  3 24 14  6]	18	24
19	9	[13 23  3 24 14  6]	20	24
19	10	[13 23  3 24 14  6]	7	23
20	1	[14  7  8  9 23 13]	2	9
20	2	[14  7  8  9 23 13]	7	14
20	3	[14  7  8  9 23 13]	2	8
20	4	[14  7  8  9 23 13]	16	7
20	5	[14  7  8  9 23 13]	18	14
20	6	[14  7  8  9 23 13]	16	8
20	7	[14  7  8  9 23 13]	19	13
20	8	[14  7  8  9 23 13]	8	14
20	9	[14  7  8  9 23 13]	22	8
20	10	[14  7  8  9 23 13]	2	7
21	1	[ 8 14 16 20 24  0]	9	16
21	2	[ 8 14 16 20 24  0]	17	24
21	3	[ 8 14 16 20 24  0]	10	0
21	4	[ 8 14 16 20 24  0]	7	24
21	5	[ 8 14 16 20 24  0]	24	0
21	6	[ 8 14 16 20 24  0]	21	20
21	7	[ 8 14 16 20 24  0]	21	20
21	8	[ 8 14 16 20 24  0]	10	16
21	9	[ 8 14 16 20 24  0]	3	8
21	10	[ 8 14 16 20 24  0]	12	24
22	1	[ 6 11  8  1 19 24]	24	11
22	2	[ 6 11  8  1 19 24]	11	8
22	3	[ 6 11  8  1 19 24]	7	6
22	4	[ 6 11  8  1 19 24]	7	8
22	5	[ 6 11  8  1 19 24]	9	8
22	6	[ 6 11  8  1 19 24]	18	6
22	7	[ 6 11  8  1 19 24]	9	6
22	8	[ 6 11  8  1 19 24]	12	6
22	9	[ 6 11  8  1 19 24]	17	6
22	10	[ 6 11  8  1 19 24]	2	24
23	1	[14 17 22 12  7 13]	8	13
23	2	[14 17 22 12  7 13]	17	14
23	3	[14 17 22 12  7 13]	24	7
23	4	[14 17 22 12  7 13]	22	14
23	5	[14 17 22 12  7 13]	16	14
23	6	[14 17 22 12  7 13]	14	7
23	7	[14 17 22 12  7 13]	2	22
23	8	[14 17 22 12  7 13]	5	14
23	9	[14 17 22 12  7 13]	11	12
23	10	[14 17 22 12  7 13]	3	22
24	1	[11  3  5 15 14 19]	21	3
24	2	[11  3  5 15 14 19]	19	14
24	3	[11  3  5 15 14 19]	16	3
24	4	[11  3  5 15 14 19]	10	5
24	5	[11  3  5 15 14 19]	3	19
24	6	[11  3  5 15 14 19]	24	14
24	7	[11  3  5 15 14 19]	20	11
24	8	[11  3  5 15 14 19]	21	11
24	9	[11  3  5 15 14 19]	1	19
24	10	[11  3  5 15 14 19]	19	14
25	1	[16 24  3 17 12 18]	1	3
25	2	[16 24  3 17 12 18]	9	16
25	3	[16 24  3 17 12 18]	11	24
25	4	[16 24  3 17 12 18]	23	3
25	5	[16 24  3 17 12 18]	14	12
25	6	[16 24  3 17 12 18]	15	12
25	7	[16 24  3 17 12 18]	4	24
25	8	[16 24  3 17 12 18]	10	12
25	9	[16 24  3 17 12 18]	22	16
25	10	[16 24  3 17 12 18]	10	12
26	1	[23 16 22 10  1  2]	8	22
26	2	[23 16 22 10  1  2]	7	2
26	3	[23 16 22 10  1  2]	20	23
26	4	[23 16 22 10  1  2]	23	1
26	5	[23 16 22 10  1  2]	3	10
26	6	[23 16 22 10  1  2]	10	23
26	7	[23 16 22 10  1  2]	18	10
26	8	[23 16 22 10  1  2]	4	10
26	9	[23 16 22 10  1  2]	7	2
26	10	[23 16 22 10  1  2]	22	2
27	1	[16 14 17 10 19 11]	11	14
27	2	[16 14 17 10 19 11]	15	10
27	3	[16 14 17 10 19 11]	3	17
27	4	[16 14 17 10 19 11]	14	17
27	5	[16 14 17 10 19 11]	18	10
27	6	[16 14 17 10 19 11]	23	11
27	7	[16 14 17 10 19 11]	13	19
27	8	[16 14 17 10 19 11]	20	17
27	9	[16 14 17 10 19 11]	13	17
27	10	[16 14 17 10 19 11]	14	17
28	1	[23 16 18 12 17 11]	0	12
28	2	[23 16 18 12 17 11]	4	23
28	3	[23 16 18 12 17 11]	11	17
28	4	[23 16 18 12 17 11]	12	16
28	5	[23 16 18 12 17 11]	10	17
28	6	[23 16 18 12 17 11]	24	18
28	7	[23 16 18 12 17 11]	11	12
28	8	[23 16 18 12 17 11]	9	11
28	9	[23 16 18 12 17 11]	3	23
28	10	[23 16 18 12 17 11]	4	23
29	1	[ 7 18  4  3  8  9]	15	3
29	2	[ 7 18  4  3  8  9]	5	4
29	3	[ 7 18  4  3  8  9]	17	4
29	4	[ 7 18  4  3  8  9]	17	18
29	5	[ 7 18  4  3  8  9]	20	18
29	6	[ 7 18  4  3  8  9]	13	9
29	7	[ 7 18  4  3  8  9]	1	8
29	8	[ 7 18  4  3  8  9]	13	4
29	9	[ 7 18  4  3  8  9]	19	3
29	10	[ 7 18  4  3  8  9]	6	9
30	1	[24  3 22 12  9  1]	3	22
30	2	[24  3 22 12  9  1]	24	9
30	3	[24  3 22 12  9  1]	16	24
30	4	[24  3 22 12  9  1]	24	12
30	5	[24  3 22 12  9  1]	10	3
30	6	[24  3 22 12  9  1]	13	24
30	7	[24  3 22 12  9  1]	16	1
30	8	[24  3 22 12  9  1]	2	24
30	9	[24  3 22 12  9  1]	5	9
30	10	[24  3 22 12  9  1]	19	24
31	1	[ 7  6 19  8  9  5]	24	9
31	2	[ 7  6 19  8  9  5]	12	7
31	3	[ 7  6 19  8  9  5]	23	9
31	4	[ 7  6 19  8  9  5]	19	9
31	5	[ 7  6 19  8  9  5]	21	7
31	6	[ 7  6 19  8  9  5]	14	8
31	7	[ 7  6 19  8  9  5]	2	7
31	8	[ 7  6 19  8  9  5]	13	7
31	9	[ 7  6 19  8  9  5]	17	6
31	10	[ 7  6 19  8  9  5]	20	9
32	1	[23  0  6 17  4  7]	2	4
32	2	[23  0  6 17  4  7]	5	4
32	3	[23  0  6 17  4  7]	1	7
32	4	[23  0  6 17  4  7]	23	7
32	5	[23  0  6 17  4  7]	4	6
32	6	[23  0  6 17  4  7]	14	17
32	7	[23  0  6 17  4  7]	1	17
32	8	[23  0  6 17  4  7]	2	23
32	9	[23  0  6 17  4  7]	15	17
32	10	[23  0  6 17  4  7]	12	6
33	1	[ 8 22 14 16 19  1]	23	19
33	2	[ 8 22 14 16 19  1]	8	22
33	3	[ 8 22 14 16 19  1]	2	14
33	4	[ 8 22 14 16 19  1]	23	14
33	5	[ 8 22 14 16 19  1]	4	16
33	6	[ 8 22 14 16 19  1]	4	19
33	7	[ 8 22 14 16 19  1]	12	22
33	8	[ 8 22 14 16 19  1]	5	14
33	9	[ 8 22 14 16 19  1]	13	14
33	10	[ 8 22 14 16 19  1]	11	8
34	1	[12 14 18  6 20 23]	4	18
34	2	[12 14 18  6 20 23]	1	20
34	3	[12 14 18  6 20 23]	13	20
34	4	[12 14 18  6 20 23]	16	23
34	5	[12 14 18  6 20 23]	21	6
34	6	[12 14 18  6 20 23]	5	20
34	7	[12 14 18  6 20 23]	8	14
34	8	[12 14 18  6 20 23]	19	18
34	9	[12 14 18  6 20 23]	17	14
34	10	[12 14 18  6 20 23]	18	14
35	1	[17  5 12 10 24 18]	23	12
35	2	[17  5 12 10 24 18]	5	12
35	3	[17  5 12 10 24 18]	22	12
35	4	[17  5 12 10 24 18]	22	24
35	5	[17  5 12 10 24 18]	2	12
35	6	[17  5 12 10 24 18]	15	12
35	7	[17  5 12 10 24 18]	22	5
35	8	[17  5 12 10 24 18]	6	10
35	9	[17  5 12 10 24 18]	14	5
35	10	[17  5 12 10 24 18]	14	17
36	1	[21 19  6  9 10 20]	11	19
36	2	[21 19  6  9 10 20]	2	20
36	3	[21 19  6  9 10 20]	8	10
36	4	[21 19  6  9 10 20]	21	9
36	5	[21 19  6  9 10 20]	11	6
36	6	[21 19  6  9 10 20]	2	20
36	7	[21 19  6  9 10 20]	1	9
36	8	[21 19  6  9 10 20]	3	6
36	9	[21 19  6  9 10 20]	22	19
36	10	[21 19  6  9 10 20]	9	20
37	1	[23  4 12 15  6  0]	7	12
37	2	[23  4 12 15  6  0]	15	23
37	3	[23  4 12 15  6  0]	24	12
37	4	[23  4 12 15  6  0]	10	23
37	5	[23  4 12 15  6  0]	17	0
37	6	[23  4 12 15  6  0]	5	4
37	7	[23  4 12 15  6  0]	6	23
37	8	[23  4 12 15  6  0]	8	23
37	9	[23  4 12 15  6  0]	17	4
37	10	[23  4 12 15  6  0]	12	4
38	1	[24 12 14 10 15  2]	9	10
38	2	[24 12 14 10 15  2]	2	24
38	3	[24 12 14 10 15  2]	13	15
38	4	[24 12 14 10 15  2]	13	10
38	5	[24 12 14 10 15  2]	5	14
38	6	[24 12 14 10 15  2]	6	14
38	7	[24 12 14 10 15  2]	1	2
38	8	[24 12 14 10 15  2]	15	12
38	9	[24 12 14 10 15  2]	13	10
38	10	[24 12 14 10 15  2]	1	15
39	1	[ 5 18 24 22 12 16]	13	22
39	2	[ 5 18 24 22 12 16]	3	24
39	3	[ 5 18 24 22 12 16]	14	12
39	4	[ 5 18 24 22 12 16]	18	16
39	5	[ 5 18 24 22 12 16]	17	18
39	6	[ 5 18 24 22 12 16]	0	22
39	7	[ 5 18 24 22 12 16]	24	18
39	8	[ 5 18 24 22 12 16]	21	5
39	9	[ 5 18 24 22 12 16]	5	24
39	10	[ 5 18 24 22 12 16]	24	12
40	1	[14  7 13 23 19 20]	24	7
40	2	[14  7 13 23 19 20]	16	13
40	3	[14  7 13 23 19 20]	5	13
40	4	[14  7 13 23 19 20]	15	13
40	5	[14  7 13 23 19 20]	1	20
40	6	[14  7 13 23 19 20]	0	19
40	7	[14  7 13 23 19 20]	17	13
40	8	[14  7 13 23 19 20]	21	7
40	9	[14  7 13 23 19 20]	13	19
40	10	[14  7 13 23 19 20]	5	19
41	1	[ 7 14 17 12  9  8]	19	12
41	2	[ 7 14 17 12  9  8]	8	7
41	3	[ 7 14 17 12  9  8]	5	17
41	4	[ 7 14 17 12  9  8]	14	7
41	5	[ 7 14 17 12  9  8]	18	12
41	6	[ 7 14 17 12  9  8]	1	14
41	7	[ 7 14 17 12  9  8]	22	9
41	8	[ 7 14 17 12  9  8]	24	17
41	9	[ 7 14 17 12  9  8]	17	7
41	10	[ 7 14 17 12  9  8]	10	8
42	1	[21  8 13 22 24  2]	14	21
42	2	[21  8 13 22 24  2]	0	22
42	3	[21  8 13 22 24  2]	5	21
42	4	[21  8 13 22 24  2]	6	13
42	5	[21  8 13 22 24  2]	3	24
42	6	[21  8 13 22 24  2]	3	2
42	7	[21  8 13 22 24  2]	9	22
42	8	[21  8 13 22 24  2]	13	22
42	9	[21  8 13 22 24  2]	21	22
42	10	[21  8 13 22 24  2]	5	13
43	1	[19 20 21  6  2 13]	12	2
43	2	[19 20 21  6  2 13]	13	6
43	3	[19 20 21  6  2 13]	10	21
43	4	[19 20 21  6  2 13]	19	13
43	5	[19 20 21  6  2 13]	5	21
43	6	[19 20 21  6  2 13]	17	20
43	7	[19 20 21  6  2 13]	6	2
43	8	[19 20 21  6  2 13]	11	13
43	9	[19 20 21  6  2 13]	19	2
43	10	[19 20 21  6  2 13]	0	2
44	1	[24 18 12 23  7  8]	23	24
44	2	[24 18 12 23  7  8]	11	7
44	3	[24 18 12 23  7  8]	3	18
44	4	[24 18 12 23  7  8]	21	24
44	5	[24 18 12 23  7  8]	5	18
44	6	[24 18 12 23  7  8]	18	24
44	7	[24 18 12 23  7  8]	4	23
44	8	[24 18 12 23  7  8]	9	24
44	9	[24 18 12 23  7  8]	6	23
44	10	[24 18 12 23  7  8]	13	12
45	1	[10 21  0 12  2 18]	15	2
45	2	[10 21  0 12  2 18]	21	10
45	3	[10 21  0 12  2 18]	3	21
45	4	[10 21  0 12  2 18]	1	10
45	5	[10 21  0 12  2 18]	13	18
45	6	[10 21  0 12  2 18]	24	21
45	7	[10 21  0 12  2 18]	1	12
45	8	[10 21  0 12  2 18]	16	2
45	9	[10 21  0 12  2 18]	11	2
45	10	[10 21  0 12  2 18]	0	2
46	1	[ 5 13 16 10 14 24]	2	16
46	2	[ 5 13 16 10 14 24]	12	13
46	3	[ 5 13 16 10 14 24]	22	5
46	4	[ 5 13 16 10 14 24]	2	14
46	5	[ 5 13 16 10 14 24]	12	14
46	6	[ 5 13 16 10 14 24]	3	10
46	7	[ 5 13 16 10 14 24]	4	14
46	8	[ 5 13 16 10 14 24]	19	16
46	9	[ 5 13 16 10 14 24]	21	10
46	10	[ 5 13 16 10 14 24]	2	10
47	1	[17 12 13 10 18 23]	20	10
47	2	[17 12 13 10 18 23]	8	18
47	3	[17 12 13 10 18 23]	12	10
47	4	[17 12 13 10 18 23]	17	18
47	5	[17 12 13 10 18 23]	14	12
47	6	[17 12 13 10 18 23]	4	23
47	7	[17 12 13 10 18 23]	19	23
47	8	[17 12 13 10 18 23]	12	23
47	9	[17 12 13 10 18 23]	14	18
47	10	[17 12 13 10 18 23]	19	17
48	1	[17 23 13 22  3  4]	6	23
48	2	[17 23 13 22  3  4]	1	3
48	3	[17 23 13 22  3  4]	11	4
48	4	[17 23 13 22  3  4]	23	4
48	5	[17 23 13 22  3  4]	17	23
48	6	[17 23 13 22  3  4]	17	13
48	7	[17 23 13 22  3  4]	3	4
48	8	[17 23 13 22  3  4]	8	4
48	9	[17 23 13 22  3  4]	15	17
48	10	[17 23 13 22  3  4]	16	13
49	1	[24  9 17  0  1  3]	1	24
49	2	[24  9 17  0  1  3]	23	24
49	3	[24  9 17  0  1  3]	22	17
49	4	[24  9 17  0  1  3]	9	3
49	5	[24  9 17  0  1  3]	17	24
49	6	[24  9 17  0  1  3]	1	9
49	7	[24  9 17  0  1  3]	13	1
49	8	[24  9 17  0  1  3]	20	3
49	9	[24  9 17  0  1  3]	19	1
49	10	[24  9 17  0  1  3]	11	3
