block	round	hides	s1	s3
0	1	[ 3  6  9  1  8 12]	10	1
0	2	[ 3  6  9  1  8 12]	21	9
0	3	[ 3  6  9  1  8 12]	6	12
0	4	[ 3  6  9  1  8 12]	10	12
0	5	[ 3  6  9  1  8 12]	7	9
0	6	[ 3  6  9  1  8 12]	13	6
0	7	[ 3  6  9  1  8 12]	5	1
0	8	[ 3  6  9  1  8 12]	3	12
0	9	[ 3  6  9  1  8 12]	1	6
0	10	[ 3  6  9  1  8 12]	10	12
1	1	[15  9 24 19  5 12]	14	5
1	2	[15  9 24 19  5 12]	16	9
1	3	[15  9 24 19  5 12]	16	24
1	4	[15  9 24 19  5 12]	23	12
1	5	[15  9 24 19  5 12]	5	15
1	6	[15  9 24 19  5 12]	20	5
1	7	[15  9 24 19  5 12]	22	12
1	8	[15  9 24 19  5 12]	24	12
1	9	[15  9 24 19  5 12]	21	9
1	10	[15  9 24 19  5 12]	23	5
2	1	[15 21  8 14  5  0]	14	21
2	2	[15 21  8 14  5  0]	7	8
2	3	[15 21  8 14  5  0]	21	5
2	4	[15 21  8 14  5  0]	4	0
2	5	[15 21  8 14  5  0]	2	5
2	6	[15 21  8 14  5  0]	20	5
2	7	[15 21  8 14  5  0]	1	21
2	8	[15 21  8 14  5  0]	5	8
2	9	[15 21  8 14  5  0]	10	5
2	10	[15 21  8 14  5  0]	9	21
3	1	[22 15  6 16 14  8]	9	16
3	2	[22 15  6 16 14  8]	11	14
3	3	[22 15  6 16 14  8]	4	16
3	4	[22 15  6 16 14  8]	6	14
3	5	[22 15  6 16 14  8]	2	22
3	6	[22 15  6 16 14  8]	16	14
3	7	[22 15  6 16 14  8]	10	6
3	8	[22 15  6 16 14  8]	1	8
3	9	[22 15  6 16 14  8]	23	15
3	10	[22 15  6 16 14  8]	23	16
4	1	[11 18  6 20 13 17]	16	18
4	2	[11 18  6 20 13 17]	23	13
4	3	[11 18  6 20 13 17]	5	6
4	4	[11 18  6 20 13 17]	24	6
4	5	[11 18  6 20 13 17]	20	17
4	6	[11 18  6 20 13 17]	7	13
4	7	[11 18  6 20 13 17]	17	13
4	8	[11 18  6 20 13 17]	20	13
4	9	[11 18  6 20 13 17]	15	18
4	10	[11 18  6 20 13 17]	10	18
5	1	[ 9  3  0 10 18 19]	2	9
5	2	[ 9  3  0 10 18 19]	9	18
5	3	[ 9  3  0 10 18 19]	18	10
5	4	[ 9  3  0 10 18 19]	11	9
5	5	[ 9  3  0 10 18 19]	1	18
