block	round	hides	s1	s3
0	1	[23  7 18 14 22  5]	15	23
0	2	[23  7 18 14 22  5]	23	14
0	3	[23  7 18 14 22  5]	24	5
0	4	[23  7 18 14 22  5]	13	14
0	5	[23  7 18 14 22  5]	23	22
0	6	[23  7 18 14 22  5]	6	18
0	7	[23  7 18 14 22  5]	19	22
0	8	[23  7 18 14 22  5]	0	14
0	9	[23  7 18 14 22  5]	21	23
0	10	[23  7 18 14 22  5]	18	7
1	1	[ 0 16 15  6 13 10]	11	16
1	2	[ 0 16 15  6 13 10]	23	15
1	3	[ 0 16 15  6 13 10]	22	16
1	4	[ 0 16 15  6 13 10]	9	10
1	5	[ 0 16 15  6 13 10]	7	0
1	6	[ 0 16 15  6 13 10]	15	16
1	7	[ 0 16 15  6 13 10]	7	15
1	8	[ 0 16 15  6 13 10]	7	13
1	9	[ 0 16 15  6 13 10]	18	13
1	10	[ 0 16 15  6 13 10]	21	15
2	1	[14  5  3 19 11 21]	13	11
2	2	[14  5  3 19 11 21]	24	14
2	3	[14  5  3 19 11 21]	1	3
2	4	[14  5  3 19 11 21]	4	21
2	5	[14  5  3 19 11 21]	3	14
2	6	[14  5  3 19 11 21]	23	21
2	7	[14  5  3 19 11 21]	14	19
2	8	[14  5  3 19 11 21]	8	14
2	9	[14  5  3 19 11 21]	8	11
2	10	[14  5  3 19 11 21]	1	5
