block	round	hides	s1	s3
0	1	[17  8  3 10 20  6]	5	10
0	2	[17  8  3 10 20  6]	2	8
0	3	[17  8  3 10 20  6]	4	17
0	4	[17  8  3 10 20  6]	14	8
0	5	[17  8  3 10 20  6]	13	20
0	6	[17  8  3 10 20  6]	0	8
0	7	[17  8  3 10 20  6]	7	6
0	8	[17  8  3 10 20  6]	3	8
0	9	[17  8  3 10 20  6]	8	20
0	10	[17  8  3 10 20  6]	11	3
1	1	[14  6 23 10 11  8]	13	10
1	2	[14  6 23 10 11  8]	8	23
1	3	[14  6 23 10 11  8]	22	6
1	4	[14  6 23 10 11  8]	11	8
1	5	[14  6 23 10 11  8]	23	10
1	6	[14  6 23 10 11  8]	1	11
1	7	[14  6 23 10 11  8]	6	8
1	8	[14  6 23 10 11  8]	19	6
1	9	[14  6 23 10 11  8]	10	11
1	10	[14  6 23 10 11  8]	23	14
2	1	[24  6 23  5 13 22]	23	5
2	2	[24  6 23  5 13 22]	1	23
2	3	[24  6 23  5 13 22]	14	6
2	4	[24  6 23  5 13 22]	20	24
2	5	[24  6 23  5 13 22]	20	22
2	6	[24  6 23  5 13 22]	5	22
2	7	[24  6 23  5 13 22]	4	22
2	8	[24  6 23  5 13 22]	1	13
2	9	[24  6 23  5 13 22]	21	22
2	10	[24  6 23  5 13 22]	9	5
