block	round	hides	s1	s3
0	1	[21  0 10  8  9 12]	2	0
0	2	[21  0 10  8  9 12]	4	8
0	3	[21  0 10  8  9 12]	16	8
0	4	[21  0 10  8  9 12]	24	21
0	5	[21  0 10  8  9 12]	3	12
0	6	[21  0 10  8  9 12]	15	10
0	7	[21  0 10  8  9 12]	23	8
0	8	[21  0 10  8  9 12]	4	10
0	9	[21  0 10  8  9 12]	8	10
0	10	[21  0 10  8  9 12]	22	8
1	1	[17  2  8 14 24 12]	6	17
1	2	[17  2  8 14 24 12]	21	12
1	3	[17  2  8 14 24 12]	5	24
1	4	[17  2  8 14 24 12]	15	17
1	5	[17  2  8 14 24 12]	21	17
1	6	[17  2  8 14 24 12]	3	17
1	7	[17  2  8 14 24 12]	10	24
1	8	[17  2  8 14 24 12]	14	17
1	9	[17  2  8 14 24 12]	10	8
1	10	[17  2  8 14 24 12]	20	14
2	1	[10  3 15 20 11 14]	13	11
2	2	[10  3 15 20 11 14]	12	14
2	3	[10  3 15 20 11 14]	18	20
2	4	[10  3 15 20 11 14]	14	15
2	5	[10  3 15 20 11 14]	3	11
2	6	[10  3 15 20 11 14]	13	15
2	7	[10  3 15 20 11 14]	2	14
2	8	[10  3 15 20 11 14]	8	15
2	9	[10  3 15 20 11 14]	6	11
2	10	[10  3 15 20 11 14]	1	3
