block	round	hides	s1	s3
0	1	[15 14 17 16  1 24]	3	24
0	2	[15 14 17 16  1 24]	8	14
0	3	[15 14 17 16  1 24]	17	24
0	4	[15 14 17 16  1 24]	19	16
0	5	[15 14 17 16  1 24]	23	16
0	6	[15 14 17 16  1 24]	20	15
0	7	[15 14 17 16  1 24]	7	16
0	8	[15 14 17 16  1 24]	10	15
0	9	[15 14 17 16  1 24]	22	17
0	10	[15 14 17 16  1 24]	3	16
1	1	[13  4 19 11  9 12]	18	11
1	2	[13  4 19 11  9 12]	15	19
1	3	[13  4 19 11  9 12]	16	12
1	4	[13  4 19 11  9 12]	18	12
1	5	[13  4 19 11  9 12]	24	11
1	6	[13  4 19 11  9 12]	1	12
1	7	[13  4 19 11  9 12]	2	12
1	8	[13  4 19 11  9 12]	23	9
1	9	[13  4 19 11  9 12]	6	4
1	10	[13  4 19 11  9 12]	1	19
2	1	[24 11 18 16 15 14]	7	18
2	2	[24 11 18 16 15 14]	8	24
2	3	[24 11 18 16 15 14]	3	24
2	4	[24 11 18 16 15 14]	16	11
2	5	[24 11 18 16 15 14]	2	14
2	6	[24 11 18 16 15 14]	3	24
2	7	[24 11 18 16 15 14]	22	11
2	8	[24 11 18 16 15 14]	24	15
2	9	[24 11 18 16 15 14]	14	15
2	10	[24 11 18 16 15 14]	24	16
3	1	[13  7 24 16 20  8]	9	24
3	2	[13  7 24 16 20  8]	1	13
3	3	[13  7 24 16 20  8]	10	24
3	4	[13  7 24 16 20  8]	18	16
3	5	[13  7 24 16 20  8]	21	13
3	6	[13  7 24 16 20  8]	23	7
3	7	[13  7 24 16 20  8]	17	16
3	8	[13  7 24 16 20  8]	22	20
3	9	[13  7 24 16 20  8]	12	24
3	10	[13  7 24 16 20  8]	23	8
4	1	[22  6  9 13 17 24]	14	22
4	2	[22  6  9 13 17 24]	3	13
4	3	[22  6  9 13 17 24]	11	13
4	4	[22  6  9 13 17 24]	9	6
4	5	[22  6  9 13 17 24]	6	24
4	6	[22  6  9 13 17 24]	9	17
4	7	[22  6  9 13 17 24]	17	9
4	8	[22  6  9 13 17 24]	10	9
4	9	[22  6  9 13 17 24]	9	13
4	10	[22  6  9 13 17 24]	17	13
5	1	[11 24  2  7 16 10]	1	16
5	2	[11 24  2  7 16 10]	13	2
5	3	[11 24  2  7 16 10]	24	16
5	4	[11 24  2  7 16 10]	6	16
5	5	[11 24  2  7 16 10]	13	11
5	6	[11 24  2  7 16 10]	15	7
5	7	[11 24  2  7 16 10]	3	10
5	8	[11 24  2  7 16 10]	15	10
5	9	[11 24  2  7 16 10]	18	10
5	10	[11 24  2  7 16 10]	11	2
6	1	[ 1 10 14 15  8 18]	6	14
6	2	[ 1 10 14 15  8 18]	6	1
6	3	[ 1 10 14 15  8 18]	18	10
6	4	[ 1 10 14 15  8 18]	12	14
6	5	[ 1 10 14 15  8 18]	3	8
6	6	[ 1 10 14 15  8 18]	7	15
6	7	[ 1 10 14 15  8 18]	4	8
6	8	[ 1 10 14 15  8 18]	7	18
6	9	[ 1 10 14 15  8 18]	21	14
6	10	[ 1 10 14 15  8 18]	17	15
7	1	[18  1 14 20 13 15]	20	14
7	2	[18  1 14 20 13 15]	6	1
7	3	[18  1 14 20 13 15]	13	14
7	4	[18  1 14 20 13 15]	8	14
7	5	[18  1 14 20 13 15]	15	14
7	6	[18  1 14 20 13 15]	7	13
7	7	[18  1 14 20 13 15]	17	1
7	8	[18  1 14 20 13 15]	20	14
7	9	[18  1 14 20 13 15]	9	18
7	10	[18  1 14 20 13 15]	5	15
8	1	[ 3  6 19 24 14 12]	5	6
8	2	[ 3  6 19 24 14 12]	18	6
8	3	[ 3  6 19 24 14 12]	8	12
8	4	[ 3  6 19 24 14 12]	8	3
8	5	[ 3  6 19 24 14 12]	4	12
8	6	[ 3  6 19 24 14 12]	11	12
8	7	[ 3  6 19 24 14 12]	9	24
8	8	[ 3  6 19 24 14 12]	20	3
8	9	[ 3  6 19 24 14 12]	5	3
8	10	[ 3  6 19 24 14 12]	20	19
9	1	[ 2 13 14 12 20  4]	3	4
9	2	[ 2 13 14 12 20  4]	8	4
9	3	[ 2 13 14 12 20  4]	8	4
9	4	[ 2 13 14 12 20  4]	4	13
9	5	[ 2 13 14 12 20  4]	10	4
9	6	[ 2 13 14 12 20  4]	15	13
9	7	[ 2 13 14 12 20  4]	22	12
9	8	[ 2 13 14 12 20  4]	11	4
9	9	[ 2 13 14 12 20  4]	4	13
9	10	[ 2 13 14 12 20  4]	1	13
10	1	[13 23 17  1 20 21]	23	20
10	2	[13 23 17  1 20 21]	10	20
10	3	[13 23 17  1 20 21]	1	23
10	4	[13 23 17  1 20 21]	13	1
10	5	[13 23 17  1 20 21]	22	13
10	6	[13 23 17  1 20 21]	12	20
10	7	[13 23 17  1 20 21]	7	21
10	8	[13 23 17  1 20 21]	21	13
10	9	[13 23 17  1 20 21]	7	20
10	10	[13 23 17  1 20 21]	14	20
11	1	[ 0 11  1 12  9 24]	7	1
11	2	[ 0 11  1 12  9 24]	23	12
11	3	[ 0 11  1 12  9 24]	11	1
11	4	[ 0 11  1 12  9 24]	12	9
11	5	[ 0 11  1 12  9 24]	18	9
11	6	[ 0 11  1 12  9 24]	21	12
11	7	[ 0 11  1 12  9 24]	14	11
11	8	[ 0 11  1 12  9 24]	6	1
11	9	[ 0 11  1 12  9 24]	1	24
11	10	[ 0 11  1 12  9 24]	9	1
