	sub_id	agent	tau_gen	lambda_gen	interrupted	duration	n_tr	n_tr_b1	n_tr_b2	n_tr_b3	mean_tr_over_blocks	std_tr_over_blocks	n_tr_r1	n_tr_r2	n_tr_r3	n_tr_r4	n_tr_r5	n_tr_r6	n_tr_r7	n_tr_r8	n_tr_r9	n_tr_r10	n_val_actions	n_val_blocks	n_val_rounds	n_drills	p_drills	mean_drills	std_drills	n_steps	p_steps	n_drills_b1	n_drills_b2	n_drills_b3	mean_drills_b1	mean_drills_b2	mean_drills_b3	n_steps_b1	n_steps_b2	n_steps_b3	n_drills_r01	n_drills_r02	n_drills_r03	n_drills_r04	n_drills_r05	n_drills_r06	n_drills_r07	n_drills_r08	n_drills_r09	n_drills_r10	n_steps_r01	n_steps_r02	n_steps_r03	n_steps_r04	n_steps_r05	n_steps_r06	n_steps_r07	n_steps_r08	n_steps_r09	n_steps_r10	n_tr_giv_hides_0	n_tr_giv_hides_1	n_tr_giv_hides_2	n_tr_giv_hides_3	p_tr_giv_hides_0	p_tr_giv_hides_1	p_tr_giv_hides_2	p_tr_giv_hides_3	p_unv_if_drill	p_unv_if_step	p_visible_hide_giv_0.0_tr_disc	p_visible_hide_giv_1.0_tr_disc	n_tr_giv_hides_4	n_tr_giv_hides_5	p_tr_giv_hides_4	p_tr_giv_hides_5	n_tr_giv_hides_6	p_tr_giv_hides_6
0	A1_rep-1_tau-1000_lambda-500_part-0	A1	1.0	0.5	0	n/a	9.0	3.0	6.0	0.0	3.0	2.449489742783178	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	289	3	30	68	0.23529411764705882	0.23529411764705882	0.42418250299576343	221	0.7647058823529411	23	13	32	0.23232323232323232	0.18571428571428572	0.26666666666666666	76	57	88	5	9	7	8	4	13	4	7	3	8	20	19	18	20	32	13	27	26	23	23	1.0	4.0	2.0	2.0	0.02564102564102564	0.0449438202247191	0.01680672268907563	0.047619047619047616	1.8235294117647058	n/a	0.42857142857142855	0.2222222222222222	n/a	n/a	n/a	n/a	n/a	n/a
1	A1_rep-1_tau-1000_lambda-500_part-1	A1	1.0	0.5	0	n/a	4.0	1.0	1.0	2.0	1.3333333333333333	0.4714045207910317	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	331	3	30	77	0.2326283987915408	0.2326283987915408	0.42250730983880586	254	0.7673716012084593	26	22	29	0.22807017543859648	0.2018348623853211	0.26851851851851855	88	87	79	12	10	6	6	8	8	5	11	8	3	24	26	19	24	28	28	24	25	28	28	0.0	1.0	1.0	2.0	0.0	0.008695652173913044	0.0136986301369863	0.01818181818181818	1.5064935064935066	n/a	0.4	0.5	n/a	n/a	n/a	n/a	n/a	n/a
2	A1_rep-1_tau-1000_lambda-500_part-10	A1	1.0	0.5	0	n/a	6.0	2.0	2.0	2.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	321	3	30	54	0.16822429906542055	0.16822429906542055	0.3740653475923271	267	0.8317757009345794	17	19	18	0.16037735849056603	0.1743119266055046	0.16981132075471697	89	90	88	4	7	7	5	8	3	7	1	11	1	17	29	29	20	28	33	29	22	25	35	1.0	2.0	2.0	1.0	0.015625	0.02666666666666667	0.021739130434782608	0.05	1.1851851851851851	n/a	0.07407407407407407	0.16666666666666666	0.0	0.0	0.0	0.0	n/a	n/a
3	A1_rep-1_tau-1000_lambda-500_part-2	A1	1.0	0.5	0	n/a	6.0	2.0	2.0	2.0	2.0	0.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	321	3	30	59	0.1838006230529595	0.1838006230529595	0.3873215124651655	262	0.8161993769470405	19	17	23	0.18446601941747573	0.1588785046728972	0.2072072072072072	84	90	88	6	5	2	9	8	6	6	8	4	5	16	26	23	27	28	21	30	28	32	31	4.0	2.0	0.0	n/a	0.028169014084507043	0.012345679012345678	0.0	n/a	1.2033898305084745	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
4	A1_rep-1_tau-1000_lambda-500_part-3	A1	1.0	0.5	0	n/a	9.0	3.0	3.0	3.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	2.0	312	3	30	61	0.1955128205128205	0.1955128205128205	0.3965949539869893	251	0.8044871794871795	20	17	24	0.1834862385321101	0.1717171717171717	0.23076923076923078	89	82	80	2	5	7	7	5	5	14	10	5	1	34	26	28	29	22	18	18	26	31	19	1.0	2.0	4.0	2.0	0.019230769230769232	0.020618556701030927	0.03571428571428571	0.0392156862745098	1.2459016393442623	n/a	0.43137254901960786	0.4444444444444444	n/a	n/a	n/a	n/a	n/a	n/a
5	A1_rep-1_tau-1000_lambda-500_part-4	A1	1.0	0.5	0	n/a	5.0	0.0	2.0	3.0	1.6666666666666667	1.247219128924647	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	319	3	30	69	0.21630094043887146	0.21630094043887146	0.4117218036540344	250	0.7836990595611285	25	24	20	0.20833333333333334	0.2376237623762376	0.20408163265306123	95	77	78	5	6	12	6	9	5	13	5	8	0	21	27	24	19	27	23	23	31	28	27	0.0	2.0	0.0	2.0	0.0	0.045454545454545456	0.0	0.011560693641618497	1.536231884057971	n/a	0.35714285714285715	0.4	1.0	n/a	0.02040816326530612	n/a	n/a	n/a
6	A1_rep-1_tau-1000_lambda-500_part-5	A1	1.0	0.5	0	n/a	7.0	2.0	5.0	0.0	2.3333333333333335	2.0548046676563256	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	304	3	30	65	0.2138157894736842	0.2138157894736842	0.40999828980793246	239	0.7861842105263158	23	20	22	0.22330097087378642	0.24691358024691357	0.18333333333333332	80	61	98	9	5	5	5	7	5	7	12	8	2	16	29	20	20	29	25	29	24	28	19	4.0	1.0	2.0	0.0	0.038461538461538464	0.0136986301369863	0.02	0.0	1.353846153846154	n/a	0.09523809523809523	0.14285714285714285	n/a	n/a	n/a	n/a	n/a	n/a
7	A1_rep-1_tau-1000_lambda-500_part-6	A1	1.0	0.5	0	n/a	6.0	3.0	3.0	0.0	2.0	1.4142135623730951	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	321	3	30	56	0.17445482866043613	0.17445482866043613	0.37950012044463705	265	0.8255451713395638	16	20	20	0.14285714285714285	0.2247191011235955	0.16666666666666666	96	69	100	2	5	6	3	9	11	5	8	6	1	34	27	19	24	27	23	31	28	30	22	3.0	2.0	1.0	n/a	0.0196078431372549	0.01818181818181818	0.017241379310344827	n/a	1.3214285714285714	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
8	A1_rep-1_tau-1000_lambda-500_part-7	A1	1.0	0.5	0	n/a	7.0	1.0	3.0	3.0	2.3333333333333335	0.9428090415820634	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	315	3	30	61	0.19365079365079366	0.19365079365079366	0.3951584033893388	254	0.8063492063492064	25	17	19	0.21008403361344538	0.18681318681318682	0.18095238095238095	94	74	86	7	8	4	7	4	8	8	6	8	1	29	21	21	29	24	27	28	23	28	24	1.0	5.0	1.0	n/a	0.01694915254237288	0.02564102564102564	0.01639344262295082	n/a	1.2131147540983607	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
9	A1_rep-1_tau-1000_lambda-500_part-8	A1	1.0	0.5	0	n/a	7.0	0.0	4.0	3.0	2.3333333333333335	1.699673171197595	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	318	3	30	61	0.1918238993710692	0.1918238993710692	0.3937353057590176	257	0.8081761006289309	22	14	25	0.18333333333333332	0.15555555555555556	0.23148148148148148	98	76	83	4	7	7	2	10	6	5	10	7	3	32	29	18	23	23	30	30	26	24	22	0.0	3.0	2.0	0.0	0.0	0.02027027027027027	0.045454545454545456	0.0	1.3442622950819672	n/a	0.22857142857142856	0.2857142857142857	2.0	n/a	0.0392156862745098	n/a	n/a	n/a
