	sub_id	agent	tau_gen	lambda_gen	interrupted	duration	n_tr	n_tr_b1	n_tr_b2	n_tr_b3	mean_tr_over_blocks	std_tr_over_blocks	n_tr_r1	n_tr_r2	n_tr_r3	n_tr_r4	n_tr_r5	n_tr_r6	n_tr_r7	n_tr_r8	n_tr_r9	n_tr_r10	n_val_actions	n_val_blocks	n_val_rounds	n_drills	p_drills	mean_drills	std_drills	n_steps	p_steps	n_drills_b1	n_drills_b2	n_drills_b3	mean_drills_b1	mean_drills_b2	mean_drills_b3	n_steps_b1	n_steps_b2	n_steps_b3	n_drills_r01	n_drills_r02	n_drills_r03	n_drills_r04	n_drills_r05	n_drills_r06	n_drills_r07	n_drills_r08	n_drills_r09	n_drills_r10	n_steps_r01	n_steps_r02	n_steps_r03	n_steps_r04	n_steps_r05	n_steps_r06	n_steps_r07	n_steps_r08	n_steps_r09	n_steps_r10	n_tr_giv_hides_0	n_tr_giv_hides_1	p_tr_giv_hides_0	p_tr_giv_hides_1	p_unv_if_drill	p_unv_if_step	p_visible_hide_giv_0.0_tr_disc	p_visible_hide_giv_1.0_tr_disc	n_tr_giv_hides_2	p_tr_giv_hides_2	n_tr_giv_hides_3	p_tr_giv_hides_3	n_tr_giv_hides_4	n_tr_giv_hides_5	p_tr_giv_hides_4	p_tr_giv_hides_5	n_tr_giv_hides_6	p_tr_giv_hides_6
0	A1_rep-1_tau-00_lambda-nan_part-10	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	A1_rep-1_tau-00_lambda-nan_part-11	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	A1_rep-1_tau-00_lambda-nan_part-12	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	A1_rep-1_tau-00_lambda-nan_part-13	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	A1_rep-1_tau-00_lambda-nan_part-2	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5	A1_rep-1_tau-00_lambda-nan_part-24	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6	A1_rep-1_tau-00_lambda-nan_part-3	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7	A1_rep-1_tau-00_lambda-nan_part-36	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8	A1_rep-1_tau-00_lambda-nan_part-4	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9	A1_rep-1_tau-00_lambda-nan_part-40	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
